Date,Event,Type,Description
1990-08-02,Invasion of Kuwait,Conflict,"Iraq invades Kuwait, triggering Gulf War oil spike."
1991-01-17,Operation Desert Storm,Conflict,US-led coalition begins combat.
2001-09-11,9/11 Attacks,Geopolitical,Terrorist attacks in US cause market uncertainty.
2003-03-20,Iraq War,Conflict,US invasion of Iraq.
2008-07-11,2008 Financial Crisis,Economic,Oil peaks at $147 before crashing due to global recession.
2011-02-15,Libyan Civil War,Conflict,Uprising against Gaddafi disrupts supply.
2014-11-27,OPEC Market Share Strategy,Policy,OPEC decides not to cut production despite glut.
2016-01-16,Iran Sanctions Lifted,Policy,Nuclear deal implementation increases supply.
2016-11-30,OPEC+ Cuts,Policy,OPEC and Russia agree to cut production.
2019-09-14,Saudi Aramco Attack,Conflict,Drone attacks on Abqaiq processing facility.
2020-03-06,OPEC+ Deal Collapse,Policy,Russia and Saudi Arabia start price war.
2020-03-11,COVID-19 Pandemic,Economic,WHO declares pandemic; demand collapses.
2022-02-24,Russia-Ukraine War,Conflict,Russia invades Ukraine; sanctions follow.
